VWL(V),VBL(V),Current(uA),Mode,WL,BL,VSL(V),DeviceID
4.5,1,4.842895683044434,RESET_SWEEP,127,8,1,127-8
4.5,1.05,4.809021171325684,RESET_SWEEP,127,8,1.05,127-8
4.5,1.1,4.669250663513184,RESET_SWEEP,127,8,1.1,127-8
4.5,1.15,4.646362479919434,RESET_SWEEP,127,8,1.15,127-8
4.5,1.2,4.789184745544434,RESET_SWEEP,127,8,1.2,127-8
4.5,1.25,5.003418143981934,RESET_SWEEP,127,8,1.25,127-8
4.5,1.3,4.633545097106934,RESET_SWEEP,127,8,1.3,127-8
4.5,1.35,4.398254569763184,RESET_SWEEP,127,8,1.35,127-8
4.5,1.4,4.053100761169435,RESET_SWEEP,127,8,1.4,127-8
4.5,1.45,4.173034843200684,RESET_SWEEP,127,8,1.45,127-8
4.5,1.5,4.340881522888184,RESET_SWEEP,127,8,1.5,127-8
4.5,1.55,3.344787772888184,RESET_SWEEP,127,8,1.55,127-8
4.5,1.6,2.950500663513184,RESET_SWEEP,127,8,1.6,127-8
4.5,1.65,3.315185722106934,RESET_SWEEP,127,8,1.65,127-8
4.5,1.7,2.9440919721069334,RESET_SWEEP,127,8,1.7,127-8
4.5,1.75,3.353637870544434,RESET_SWEEP,127,8,1.75,127-8
4.5,1.8,3.4821168744506834,RESET_SWEEP,127,8,1.8,127-8
4.5,1.85,3.2306520307006834,RESET_SWEEP,127,8,1.85,127-8
4.5,1.9,2.852234061950684,RESET_SWEEP,127,8,1.9,127-8
4.5,1.95,2.0865480267944334,RESET_SWEEP,127,8,1.95,127-8
4.5,2,2.6764528119506834,RESET_SWEEP,127,8,2,127-8
4.5,2.05,2.142090018981934,RESET_SWEEP,127,8,2.05,127-8
4.5,2.1,3.2916871869506834,RESET_SWEEP,127,8,2.1,127-8
4.5,2.15,2.6804200971069334,RESET_SWEEP,127,8,2.15,127-8
4.5,2.2,2.1066896283569334,RESET_SWEEP,127,8,2.2,127-8
4.5,2.25,0.9192506635131836,RESET_SWEEP,127,8,2.25,127-8
4.5,2.3,0.7794801557006836,RESET_SWEEP,127,8,2.3,127-8
4.5,2.35,0.5197755658569336,RESET_SWEEP,127,8,2.35,127-8
4.5,2.35,0.5197755658569336,RESET_PASSED,127,8,2.35,127-8
4.5,1,1.8741456830444339,RESET_SWEEP,127,8,1,127-8
4.5,1.05,0.9500734174194336,RESET_SWEEP,127,8,1.05,127-8
4.5,1.1,0.8563844525756836,RESET_SWEEP,127,8,1.1,127-8
4.5,1.15,0.6537477338256836,RESET_SWEEP,127,8,1.15,127-8
4.5,1.2,0.9415284955444337,RESET_SWEEP,127,8,1.2,127-8
4.5,1.25,1.3556520307006839,RESET_SWEEP,127,8,1.25,127-8
4.5,1.3,1.1469117963256836,RESET_SWEEP,127,8,1.3,127-8
4.5,1.35,1.2476198041381836,RESET_SWEEP,127,8,1.35,127-8
4.5,1.4,2.317871268981934,RESET_SWEEP,127,8,1.4,127-8
4.5,1.45,1.7398683392944336,RESET_SWEEP,127,8,1.45,127-8
4.5,1.5,1.3663331830444336,RESET_SWEEP,127,8,1.5,127-8
4.5,1.55,1.2024537885131836,RESET_SWEEP,127,8,1.55,127-8
4.5,1.6,2.2482911908569334,RESET_SWEEP,127,8,1.6,127-8
4.5,1.65,2.1558229291381834,RESET_SWEEP,127,8,1.65,127-8
4.5,1.7,1.0166017377319336,RESET_SWEEP,127,8,1.7,127-8
4.5,1.75,2.761291679138184,RESET_SWEEP,127,8,1.75,127-8
4.5,1.8,1.3904420697631836,RESET_SWEEP,127,8,1.8,127-8
4.5,1.85,1.2125245892944339,RESET_SWEEP,127,8,1.85,127-8
4.5,1.9,0.4874269330444336,RESET_SWEEP,127,8,1.9,127-8
4.5,1.9,0.4874269330444336,RESET_PASSED,127,8,1.9,127-8
